"filename", "language", "Dart", "comment", "blank", "total"
"f:\flutter\projects\Matgry\matgry\lib\bloc_observer.dart", "Dart", 23, 0, 5, 28
"f:\flutter\projects\Matgry\matgry\lib\constant.dart", "Dart", 30, 0, 5, 35
"f:\flutter\projects\Matgry\matgry\lib\core\shared\widgets\shoes_photo_widget.dart", "Dart", 25, 1, 5, 31
"f:\flutter\projects\Matgry\matgry\lib\core\utils\cache_helper.dart", "Dart", 24, 0, 5, 29
"f:\flutter\projects\Matgry\matgry\lib\core\utils\dio_helper.dart", "Dart", 33, 1, 6, 40
"f:\flutter\projects\Matgry\matgry\lib\core\utils\end_points.dart", "Dart", 8, 0, 1, 9
"f:\flutter\projects\Matgry\matgry\lib\features\auth\data\models\user_model.dart", "Dart", 33, 1, 5, 39
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\login\view model\login cubit\login_cubit.dart", "Dart", 41, 0, 8, 49
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\login\view model\login cubit\login_states.dart", "Dart", 15, 0, 11, 26
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\login\view\login_view.dart", "Dart", 16, 0, 3, 19
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\login\view\widget\login_view_body.dart", "Dart", 180, 0, 5, 185
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\recover password\view model\forget password cubit\forget_password_cubit.dart", "Dart", 11, 11, 5, 27
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\recover password\view model\forget password cubit\forget_password_states.dart", "Dart", 7, 0, 5, 12
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\recover password\view\recover_password_view.dart", "Dart", 36, 0, 3, 39
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\recover password\view\widget\recover_password_view_body.dart", "Dart", 162, 0, 6, 168
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\register\view model\register cubit\register_cubit.dart", "Dart", 47, 0, 7, 54
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\register\view model\register cubit\register_states.dart", "Dart", 21, 0, 15, 36
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\register\view\register_view.dart", "Dart", 16, 0, 3, 19
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\register\view\widget\my_input_text_field.dart", "Dart", 80, 0, 5, 85
"f:\flutter\projects\Matgry\matgry\lib\features\auth\presentaion\register\view\widget\register_view_body.dart", "Dart", 181, 0, 5, 186
"f:\flutter\projects\Matgry\matgry\lib\features\details\presentation\view\item_details.dart", "Dart", 16, 0, 3, 19
"f:\flutter\projects\Matgry\matgry\lib\features\details\presentation\view\widgets\details_custom_appbar.dart", "Dart", 55, 0, 4, 59
"f:\flutter\projects\Matgry\matgry\lib\features\details\presentation\view\widgets\item_details_body.dart", "Dart", 130, 1, 9, 140
"f:\flutter\projects\Matgry\matgry\lib\features\details\presentation\view\widgets\item_title.dart", "Dart", 45, 0, 3, 48
"f:\flutter\projects\Matgry\matgry\lib\features\details\presentation\view\widgets\other_items.dart", "Dart", 51, 0, 5, 56
"f:\flutter\projects\Matgry\matgry\lib\features\favourite\presentaion\view\favourite_screen.dart", "Dart", 109, 1, 7, 117
"f:\flutter\projects\Matgry\matgry\lib\features\favourite\presentaion\view\widgets\favourite_custom_appbar.dart", "Dart", 55, 0, 4, 59
"f:\flutter\projects\Matgry\matgry\lib\features\home\model\categories_model\categories\categories_model.dart", "Dart", 19, 0, 5, 24
"f:\flutter\projects\Matgry\matgry\lib\features\home\model\categories_model\categories\data.dart", "Dart", 15, 0, 5, 20
"f:\flutter\projects\Matgry\matgry\lib\features\home\model\categories_model\categories\datum.dart", "Dart", 16, 0, 4, 20
"f:\flutter\projects\Matgry\matgry\lib\features\home\model\home_model\banner_model.dart", "Dart", 8, 0, 2, 10
"f:\flutter\projects\Matgry\matgry\lib\features\home\model\home_model\data_model.dart", "Dart", 14, 8, 5, 27
"f:\flutter\projects\Matgry\matgry\lib\features\home\model\home_model\home_data_model.dart", "Dart", 12, 0, 3, 15
"f:\flutter\projects\Matgry\matgry\lib\features\home\model\home_model\product_model.dart", "Dart", 49, 0, 4, 53
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view model\home cubit\home_cubit.dart", "Dart", 63, 0, 10, 73
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view model\home cubit\home_states.dart", "Dart", 22, 0, 14, 36
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\main_page.dart", "Dart", 27, 0, 4, 31
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\home_category_bar.dart", "Dart", 85, 0, 4, 89
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\home_custom_appbar.dart", "Dart", 63, 0, 3, 66
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\home_custom_navbar.dart", "Dart", 161, 1, 8, 170
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\home_custom_search_bar.dart", "Dart", 88, 0, 4, 92
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\home_screen.dart", "Dart", 55, 1, 4, 60
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\new_arrivals.dart", "Dart", 81, 0, 4, 85
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\popular_items.dart", "Dart", 66, 0, 4, 70
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\popular_items_card.dart", "Dart", 148, 2, 9, 159
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\onBoarding_view.dart", "Dart", 84, 0, 4, 88
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\widgets\onboarding_screen_1.dart", "Dart", 69, 0, 3, 72
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\widgets\onboarding_screen_2.dart", "Dart", 65, 0, 4, 69
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\widgets\onboarding_screen_3.dart", "Dart", 59, 0, 4, 63
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view_model\onboarding cubit\onboarding_cubit.dart", "Dart", 42, 0, 9, 51
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view_model\onboarding cubit\onboarding_states.dart", "Dart", 3, 0, 3, 6
"f:\flutter\projects\Matgry\matgry\lib\features\search\presentation\view\search_view.dart", "Dart", 8, 0, 3, 11
"f:\flutter\projects\Matgry\matgry\lib\features\splash\presentation\view\splash_view.dart", "Dart", 10, 0, 2, 12
"f:\flutter\projects\Matgry\matgry\lib\features\splash\presentation\view\widget\splash_view_body.dart", "Dart", 63, 1, 9, 73
"f:\flutter\projects\Matgry\matgry\lib\gen\assets.gen.dart", "Dart", 158, 38, 48, 244
"f:\flutter\projects\Matgry\matgry\lib\gen\fonts.gen.dart", "Dart", 5, 9, 5, 19
"f:\flutter\projects\Matgry\matgry\lib\main.dart", "Dart", 38, 0, 5, 43
"Total", "-", 3046, 76, 343, 3465